Pos,Tm,Player,Age,Height,Weight,Hand,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
C PF PG SF SG,ATL BOS BRK CHI CHO CLE DAL DEN DET GSW HOU IND LAC LAL MEM MIA MIL MIN NOP NYK OKC ORL PHI PHO POR SAC SAS TOR UTA WAS,string,continuous,continuous,continuous,L R,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
PG,SAS,Tre Jones,23.0,185.0,83.0,R,0.292,0.495,0.894,3.7,6.4,1.4,0.2,1.9,1.6,13.7
C,CLE,Jarrett Allen,24.0,211.0,110.0,R,0.000,0.639,0.713,9.8,1.6,0.8,1.2,1.4,2.2,13.6
C,MIN,Rudy Gobert,30.0,216.0,117.0,R,0.000,0.685,0.670,11.8,0.8,0.9,1.3,1.8,3.1,13.6
PG,DEN,Bones Hyland,22.0,190.0,78.0,R,0.410,0.414,0.843,2.3,3.2,0.7,0.3,1.7,1.7,13.4
PF,LAC,Marcus Morris,33.0,203.0,98.0,R,0.382,0.498,0.803,4.8,1.7,0.7,0.5,1.0,2.3,13.3
PF,ATL,John Collins,25.0,206.0,106.0,R,0.230,0.619,0.796,7.9,1.2,0.7,1.4,1.3,3.3,13.1
PG,MIA,Kyle Lowry,36.0,183.0,88.0,R,0.336,0.504,0.862,4.4,5.6,1.1,0.5,2.1,2.9,13.1
SF,MIA,Max Strus,26.0,196.0,97.0,R,0.338,0.542,0.868,3.7,2.1,0.8,0.2,1.0,2.0,13.1
SF,NOP,Trey Murphy III,22.0,206.0,93.0,R,0.400,0.615,0.925,3.9,1.3,1.0,0.5,0.8,2.2,12.6
SG,CLE,Caris LeVert,28.0,198.0,92.0,R,0.355,0.451,0.743,4.2,3.7,0.8,0.2,1.6,2.3,12.4
PG,NYK,Immanuel Quickley,23.0,190.0,86.0,R,0.325,0.504,0.844,4.1,3.3,0.9,0.1,1.2,2.0,12.3
C,UTA,Kelly Olynyk,31.0,211.0,108.0,R,0.413,0.575,0.831,5.0,3.3,1.1,0.6,2.3,4.0,12.2
PF,HOU,Jabari Smith Jr.,19.0,208.0,99.0,R,0.316,0.472,0.818,7.1,0.9,0.6,1.0,1.3,3.1,12.1
C,SAS,Jakob Poeltl,27.0,216.0,111.0,R,,0.624,0.592,9.5,2.9,0.9,1.2,2.1,2.4,11.9
SG,OKC,Jalen Williams,21.0,198.0,88.0,R,0.304,0.607,0.743,3.8,2.8,0.9,0.5,1.6,2.5,11.9
PF,ORL,Bol Bol,23.0,218.0,99.0,R,0.382,0.636,0.739,7.0,0.9,0.5,1.5,1.9,1.4,11.8
C,BRK,Nic Claxton,23.0,211.0,97.0,L,0.000,0.736,0.469,8.3,1.4,0.8,2.6,1.2,2.7,11.8
C,DET,Isaiah Stewart,21.0,203.0,113.0,R,0.342,0.559,0.741,7.9,1.2,0.4,0.7,1.5,2.6,11.8
